,ID,Customer_ID,Month,Name,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
11,0x16bd,CUS_0x33d2,August,Chalmersa,31.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,"Payday Loan, and Home Equity Loan",8,16,6.28,1.0,Standard,818.22,36.012793772472094,17 Years and 5 Months,Yes,45.14129822463578,97.58820324481088,Low_spent_Large_value_payments,421.4853318638867,Standard
12,0x16d5,CUS_0xfdb,August,Patrickg,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",13,12,2.2200000000000006,10.0,Standard,1283.37,27.930123710625228,7 Years and 0 Months,Yes,103.03756035536594,359.7718322852988,Low_spent_Small_value_payments,117.02910735933534,Standard
13,0x16ed,CUS_0x4100,August,Reema,32.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",53,19,9.95,8.0,Bad,2430.21,23.70919322410504,18 Years and 9 Months,Yes,49.57206224445275,118.1855506983746,Low_spent_Medium_value_payments,263.4785537238393,Standard
14,0x1705,CUS_0xa16e,August,Lee Chyenz,42.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,6.0,Bad,1672.43,36.83702882243363,10 Years and 8 Months,Yes,37.58807283812568,71.12274735436063,Low_spent_Small_value_payments,288.747638140847,Poor
15,0x171b,CUS_0x5b48,June,McBrideq,32.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,"Not Specified, Student Loan, and Student Loan",25,19,15.79,7.0,Standard,569.8,36.52748004014412,12 Years and 8 Months,Yes,26.060347529205966,48.00806665619237,Low_spent_Small_value_payments,294.135294147935,Poor
16,0x1728,CUS_0xa5f9,July,Rickt,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",49,21,7.27,1936.0,Bad,3532.83,24.63149693005803,12 Years and 8 Months,Yes,200.43261339470683,234.73204010983815,Low_spent_Medium_value_payments,316.9280131621217,Standard
17,0x172e,CUS_0x4d43,January,Reijik,48.0,Entrepreneur,20787.69,1999.3075,8.0,6.0,14.0,3.0,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,3.0,Standard,614.6,23.723185779641085,17 Years and 10 Months,No,42.22199265643221,10000.0,Low_spent_Small_value_payments,253.32562235082094,Standard
18,0x173a,CUS_0xb95f,January,Ashleyk,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,17.96,9.0,Standard,2686.81,39.28029558815228,13 Years and 8 Months,NM,185.1119825795006,248.06995733765265,Low_spent_Large_value_payments,106.56906008284685,Poor
19,0x174c,CUS_0x3edc,July,Williamso,32.0,Accountant,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,Debt Consolidation Loan,11,8,8.97,8.0,Standard,1233.1,34.718643637980016,19 Years and 8 Months,Yes,30.57608482316153,108.62344689023185,Low_spent_Large_value_payments,493.0191349532733,Standard
20,0x1759,CUS_0xbffe,August,Dhanya Skariachano,40.0,Architect,6515990.0,2210.0325,6.0,3.0,15.0,3.0,"Payday Loan, Not Specified, and Auto Loan",25,12,4.89,2.0,Standard,400.07,23.177617480044173,30 Years and 10 Months,Yes,69.60292048199007,51.83085897154975,High_spent_Large_value_payments,339.5694705464602,Standard
21,0x1760,CUS_0xb681,March,Sarahb,37.0,Manager,39641.54,3007.461666666666,10.0,8.0,25.0,6.0,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,15,1.54,568.0,Bad,2258.73,27.572862899949165,8 Years and 10 Months,Yes,172.38252735862687,198.0421234022212,High_spent_Small_value_payments,190.3215159058186,Poor
22,0x1770,CUS_0x9a71,July,Mukhopadhyayc,55.0,Scientist,20186.02,1684.168333333333,1.0,5.0,1.0,2.0,"Auto Loan, and Home Equity Loan",5,6,6.83,4.0,Good,413.32,36.05869702109428,18 Years and 9 Months,No,5994.0,121.7654262603496,Low_spent_Small_value_payments,307.1168233524877,Standard
23,0x177d,CUS_0x6048,August,Ayeshaz,44.0,Musician,18627.64,1387.303333333333,7.0,7.0,19.0,6.0,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,18,5.07,7.0,Bad,1793.54,38.78895428776155,19 Years and 4 Months,Yes,65.13948777561222,98.80418973887456,Low_spent_Small_value_payments,264.78665581884655,Poor
24,0x1789,CUS_0x95b5,August,Lisa Baertleinu,22.0,Engineer,12986.745,959.22875,4.0,3.0,10.0,2.0,"Mortgage Loan, and Payday Loan",28,17,11.8,7.0,Standard,1489.49,32.25544266260322,9 Years and 3 Months,Yes,16.719300227776053,91.82948180540612,Low_spent_Small_value_payments,277.37409296681784,Standard
25,0x1794,CUS_0x4004,July,Carlosj,44.0,Writer,58317.0,4664.75,8.0,5.0,9.0,6.0,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,20,21.58,10.0,Standard,98.97,28.260146747054986,13 Years and 7 Months,Yes,149.89719942100822,380.5857010101063,Low_spent_Medium_value_payments,215.9920995688854,Standard
26,0x179b,CUS_0xb101,February,Andreas Cremerf,36.0,Scientist,42171.98,3764.331666666667,2.0,7.0,10.0,3.0,"Auto Loan, Auto Loan, and Not Specified",4,8,2.58,4.0,Good,556.91,26.986114755563676,21 Years and 6 Months,No,102.7629131170904,136.98300144734569,Low_spent_Small_value_payments,426.6872521022305,Standard
27,0x17ab,CUS_0x9b94,June,Bri,36.0,Manager,71681.4,5799.45,3.0,6.0,15.0,1.0,Not Specified,5,6,10.44,0.0,Standard,1293.02,34.983562067394985,26 Years and 0 Months,Yes,53.92351397165268,414.896549383656,Low_spent_Medium_value_payments,391.1249366446912,Good
28,0x17b9,CUS_0x4080,August,ra Alperx,16.0,Mechanic,29469.98,2227.8316666666665,7.0,7.0,24.0,5.0,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,Bad,3421.66,32.96295024281038,13 Years and 9 Months,Yes,69.68545857227979,24.066131449353737,High_spent_Medium_value_payments,379.0315766450331,Poor
29,0x17c4,CUS_0x706a,July,Matt Falloonz,20.0,Engineer,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,19,2.74,1.0,Standard,1173.7,33.16506303288241,28 Years and 5 Months,No,215.83917063897167,82.49686626015253,High_spent_Medium_value_payments,580.1252964342092,Standard
30,0x17cb,CUS_0x42ac,February,Lawrencea,36.0,Musician,15566.02,1423.168333333333,8.0,5.0,32.0,4.0,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",17,20,9.24,7.0,Standard,1693.95,24.251028181031927,7 Years and 11 Months,Yes,43.07051960231588,169.62098009559793,Low_spent_Small_value_payments,219.62533363541957,Poor
31,0x17db,CUS_0x571f,June,Emily Flitterl,19.0,Developer,66567.32,5800.276666666668,5.0,7.0,5.0,2.0,"Mortgage Loan, and Not Specified",7,15,5.67,0.0,Standard,233.79,28.105704471180974,24 Years and 8 Months,No,100.18936089086122,66.77787001883797,High_spent_Medium_value_payments,663.0604357569674,Standard
32,0x17f3,CUS_0x6a1b,June,Toonkeln,33.0,Accountant,30788.44,2623.703333333333,7.0,9.0,31.0,6.0,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",45,21,21.73,9.0,Bad,3470.08,35.457081125135346,1 Years and 7 Months,Yes,114.533020898938,72.98412458705273,High_spent_Small_value_payments,334.85318784734267,Standard
33,0x1800,CUS_0x9bc1,July,Jaisinghanij,42.0,Architect,20574.47,1740.539166666667,6.0,3.0,14.0,4.0,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",1,7,13.74,11.0,Standard,749.95,38.33877418250452,11 Years and 5 Months,Yes,49.348666321498655,119.2737917167095,Low_spent_Large_value_payments,275.43145862845853,Standard
34,0x180d,CUS_0xc65,August,Pomeroyi,22.0,Lawyer,148699.32,12432.61,3.0,4.0,5.0,3.0,"Personal Loan, Mortgage Loan, and Payday Loan",16,8,9.2,1.0,Good,949.38,40.605388381855605,31 Years and 2 Months,No,364.9151774048712,328.9078393799951,High_spent_Medium_value_payments,799.437983215134,Good
35,0x1820,CUS_0x8e9b,March,Rachelle Younglaic,15.0,Entrepreneur,55829.79,4369.4825,10.0,10.0,18.0,8.0,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",30,19,27.99,11.0,Bad,3422.49,27.978801736074782,10 Years and 7 Months,Yes,314.90178526768176,132.0062494947303,High_spent_Small_value_payments,250.040215237588,Standard
36,0x1830,CUS_0x609d,July,Shupingu,27.0,Architect,14165.23,1057.4358333333332,7.0,10.0,33.0,9.0,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",59,24,8.82,11.0,Bad,2797.17,32.4729892967946,14 Years and 5 Months,Yes,58.86844083860843,45.62644681511021,Low_spent_Medium_value_payments,281.2486956796147,Poor
37,0x183d,CUS_0x75c6,August,"""John ODonnell""p",30.0,Teacher,87215.68,7489.973333333332,2.0,6.0,8.0,2.0,"Auto Loan, and Payday Loan",2,8,10.98,0.0,Good,680.77,35.622883365649685,21 Years and 3 Months,NM,19734.0,304.20281042249366,High_spent_Medium_value_payments,573.112506174297,Good
38,0x1847,CUS_0x9b3c,June,Scheydere,43.0,Lawyer,81842.28,6810.19,10.0,9.0,25.0,9.0,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",20,19,16.25,11.0,Bad,3053.16,28.643128748008227,0 Years and 9 Months,Yes,574.0657978713467,165.0734557930175,High_spent_Large_value_payments,181.87974633563567,Standard
39,0x1854,CUS_0x22a3,July,Nate Raymondj,38.0,Doctor,95956.5,8279.375,8.0,4.0,11.0,2.0,"Personal Loan, and Student Loan",23,10,11.94,2.0,Standard,1079.73,28.321914174502894,32 Years and 1 Months,NM,95.5216287821567,777.6020727296635,Low_spent_Medium_value_payments,234.81379848817986,Good
40,0x1861,CUS_0xb14,August,Edwardk,3052.0,Manager,49967.01,4091.9175,6.0,5.0,31.0,6.0,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,12.0,Standard,2253.95,31.52078179699133,17 Years and 5 Months,Yes,156.00331166279182,116.36129396965664,High_spent_Medium_value_payments,386.8271443675515,Poor
41,0x186c,CUS_0xb986,July,Simon Jessope,14.0,Developer,39887.22,3224.935,9.0,9.0,16.0,5.0,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,19,17.25,14.0,Bad,3119.6,24.14813227289234,12 Years and 11 Months,Yes,133.47084524343262,111.66780745430752,High_spent_Small_value_payments,337.3548473022599,Poor
42,0x1879,CUS_0xbe1b,August,Kazunorit,44.0,Developer,14129.76,1023.2175884600924,8.0,5.0,21.0,8.0,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6.0,Bad,4071.62,35.66937313879148,13 Years and 2 Months,NM,70.97506654794734,33.37622925667589,High_spent_Medium_value_payments,236.1591157352846,Poor
43,0x188c,CUS_0x6ffb,March,Herbert Lashb,37.0,Writer,17251.38,1654.615,6.0,3.0,7.0,7.0,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",5,12,15.06,6.0,Standard,2431.64,27.59559906416533,11 Years and 6 Months,Yes,57.35116518894053,132.4439010247437,Low_spent_Large_value_payments,245.66643378631576,Standard
44,0x189d,CUS_0x4315,August,Christophd,23.0,Entrepreneur,36822.29,3132.524166666666,8.0,7.0,6.0,4.0,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",15,19,5.79,5.0,Standard,125.25,39.05658586366771,25 Years and 3 Months,No,95.8007129241996,251.98341141434076,Low_spent_Medium_value_payments,245.46829232812638,Good
45,0x18b0,CUS_0x9d78,March,Tim Hepherp,20.0,Scientist,69977.6,5978.466666666667,10.0,7.0,20.0,9.0,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11.0,Bad,3042.36,35.6071056353549,12 Years and 10 Months,Yes,485.75043098703753,177.90559324456862,Low_spent_Medium_value_payments,214.19064243506054,Standard
46,0x18bf,CUS_0x47db,June,Granto,16.0,Musician,78988.48,6449.373333333332,9.0,5.0,29.0,7.0,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,15,15.27,9.0,Bad,1746.9,32.49554829929235,10 Years and 6 Months,Yes,291.78276034215287,399.2485836021157,Low_spent_Medium_value_payments,233.9059893890648,Poor
47,0x18ca,CUS_0x8f17,May,Ermans,45.0,Journalist,41746.76,3651.896666666667,8.0,5.0,31.0,3.0,"Mortgage Loan, Personal Loan, and Not Specified",62,18,9.81,11.0,Bad,1936.79,30.25268541678166,19 Years and 5 Months,Yes,102.28339754384292,42.79187097091358,High_spent_Large_value_payments,460.11439815191017,Standard
48,0x18e2,CUS_0x7504,May,Laup,19.0,Lawyer,73737.36,5936.78,7.0,3.0,18.0,4.0,"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",15,20,13.92,2.0,Standard,1219.39,33.015928099564874,31 Years and 5 Months,Yes,214.8134632011097,424.0584111572644,Low_spent_Small_value_payments,244.80612564162598,Standard
49,0x18ef,CUS_0x774,June,Christopher Doeringv,34.0,Musician,88362.46,7255.538333333334,5.0,2.0,8.0,3.0,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",15,6,11.01,6.0,Good,325.93,38.41963347541724,31 Years and 1 Months,No,211.1843903373817,214.61010981498777,Low_spent_Medium_value_payments,579.759333180964,Good
50,0x1903,CUS_0xab76,February,Stempelp,26.0,Scientist,60162.1,5197.508333333333,5.0,7.0,5.0,7.0,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",18,10,14.79,7.0,Standard,1037.45,33.183942270673484,13 Years and 3 Months,Yes,220.2137267039484,153.44754019420438,High_spent_Medium_value_payments,396.0895664351806,Standard
51,0x1914,CUS_0x5cdf,July,Wohli,18.0,Musician,75273.24,6424.022011446845,8.0,6.0,32.0,5.0,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",50,10,17.8,8.0,Standard,2497.34,33.04396325805384,5 Years and 8 Months,Yes,351.36704467467814,73.1795426964801,High_spent_Medium_value_payments,609.4784011819987,Poor
52,0x1921,CUS_0x2184,August,Goldsteinv,18.0,Media_Manager,54820.89,4295.4075,8.0,7.0,28.0,6.0,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",41,17,18.42,11.0,Bad,4795.13,28.20185654687037,3 Years and 6 Months,Yes,169.48198431622052,118.8780758552012,High_spent_Medium_value_payments,391.18068982857835,Standard
53,0x192b,CUS_0xa156,June,Silvia Aloisiq,42.0,Entrepreneur,58674.66,4824.555,8.0,5.0,15.0,4.0,"Not Specified, Payday Loan, Auto Loan, and Home Equity Loan",57,25,1.29,11.0,Bad,2425.38,34.990813267319425,13 Years and 6 Months,Yes,116.10341691461672,628.7091521225693,Low_spent_Small_value_payments,27.642930962813978,Standard
54,0x1937,CUS_0x74f2,June,Colew,30.0,Architect,30390.44,2721.5366666666664,5.0,6.0,5.0,4.0,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",16,20,8.36,4.0,Standard,580.31,31.075040710491734,24 Years and 8 Months,No,64.84803820501804,225.919788067928,Low_spent_Small_value_payments,271.38584039372057,Standard
55,0x1942,CUS_0x308b,May,Longstrethy,43.0,Doctor,45207.54,3507.295,8.0,8.0,24.0,6.0,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",25,20,9.78,9.0,Bad,2497.48,28.943039154220468,16 Years and 8 Months,Yes,148.91327341500903,119.08709838739055,Low_spent_Medium_value_payments,362.72912819760046,Poor
56,0x1957,CUS_0xa295,February,Patrick Temple-Westf,39.0,Engineer,30346.35,2651.8625,5.0,4.0,14.0,7.0,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",29,9,18.8,5.0,Standard,523.56,30.28018465928141,8 Years and 5 Months,Yes,96.72128021256924,332.4861615608296,Low_spent_Small_value_payments,125.97880822660112,Standard
57,0x1969,CUS_0x6c2e,August,Dowsettk,47.0,Mechanic,18681.465,1584.78875,2.0,3.0,9.0,2.0,"Home Equity Loan, and Student Loan",6,6,3.9,3.0,Good,327.88,39.538108644227655,31 Years and 4 Months,No,24.8214249786604,10000.0,Low_spent_Small_value_payments,209.55769711416406,Good
58,0x1974,CUS_0x384c,July,David Henryp,42.0,Scientist,9841.34,690.1116666666667,8.0,9.0,31.0,5.0,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",61,15,29.52,10.0,Bad,4984.82,37.68244006852633,4 Years and 11 Months,Yes,36.67512791916932,57.486481049133616,Low_spent_Medium_value_payments,254.8495576983637,Standard
59,0x198d,CUS_0x36ab,August,Svea Herbst-Baylisss,16.0,Teacher,43241.49,3282.269196467356,10.0,7.0,30.0,6.0,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",36,17,8.47,10.0,Bad,2174.16,30.59762389415997,12 Years and 9 Months,Yes,460.4272666027642,94.60039479976264,High_spent_Medium_value_payments,351.20639213011737,Standard
60,0x19a4,CUS_0x6856,July,Gellerp,25.0,Teacher,129067.59,10795.6325,1.0,3.0,1.0,4.0,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",9,5,4.54,0.0,Good,137.15,25.154469839389467,27 Years and 1 Months,No,389.3056724525229,717.8975298624595,High_spent_Small_value_payments,232.3600476850177,Good
61,0x19b0,CUS_0xa27e,July,Papadimaso,34.0,Architect,17001.34,1214.7783333333334,6.0,5.0,5.0,1.0,Home Equity Loan,10,21,5.62,2.0,Standard,1093.87,25.359340485549847,17 Years and 8 Months,No,10.535555607461252,50.59241299418775,High_spent_Medium_value_payments,310.34986473168436,Standard
62,0x19bd,CUS_0x700d,August,Blenkinsopc,21.0,Accountant,44719.17,3969.5975,6.0,6.0,29.0,7.0,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",46,19,23.21,14.0,Bad,3818.57,29.38080624152673,13 Years and 6 Months,Yes,248.599885855438,115.76449205650242,High_spent_Medium_value_payments,282.5953720880596,Poor
63,0x19c7,CUS_0x78e0,June,Tagarish,47.0,Accountant,17787.34,1242.2783333333334,8.0,4.0,16.0,2.0,"Student Loan, and Auto Loan",7,16,5.65,0.0,Standard,730.9,33.68265491389942,30 Years and 2 Months,No,20.06363388435491,119.1483872479078,Low_spent_Medium_value_payments,265.0158122010706,Standard
64,0x19d5,CUS_0x6794,August,Raymondl,42.0,Teacher,103353.06,8527.755,3.0,3.0,6.0,1.0,Student Loan,4,12,3.11,2.0,Good,1374.56,41.83706533235723,26 Years and 2 Months,No,64.00168567310892,67.10576784585814,High_spent_Large_value_payments,961.6680464810327,Good
65,0x19e0,CUS_0xe2c,July,Andreasc,38.0,Journalist,31021.24,2756.103333333333,7.0,7.0,11.0,4.0,"Auto Loan, Auto Loan, Auto Loan, and Personal Loan",16,20,11.21,7.0,Standard,852.81,38.08024160471312,33 Years and 4 Months,No,90.7591784649516,81.08806112719697,Low_spent_Large_value_payments,373.76309374118483,Standard
66,0x19eb,CUS_0x36bb,June,Elinor Comlaye,36.0,Journalist,134978.24,10541.520749550598,8.0,5.0,15.0,2.0,"Mortgage Loan, and Mortgage Loan",9,16,9.89,5.0,Standard,668.14,36.16238356879063,26 Years and 7 Months,Yes,662.7777405037292,663.6269364898525,Low_spent_Medium_value_payments,577.1799067891537,Good
67,0x19f9,CUS_0xa77f,August,Jeanine Preziosor,28.0,Writer,39800.12,3047.6766666666667,7.0,5.0,12.0,3.0,"Personal Loan, Payday Loan, and Auto Loan",17,20,11.53,4.0,Standard,660.69,28.62288043181345,18 Years and 4 Months,Yes,58.48765733950958,274.45624868905134,Low_spent_Medium_value_payments,251.82376063810585,Standard
68,0x1a03,CUS_0x1e70,June,Alexh,17.0,Manager,14841.35,1437.779166666667,6.0,5.0,17.0,7.0,"Mortgage Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Student Loan",60,16,20.64,6.0,Bad,3865.15,22.81838315950875,7 Years and 10 Months,Yes,71.54474307214656,112.76381987028498,Low_spent_Small_value_payments,249.46935372423516,Standard
69,0x1a1d,CUS_0x71e0,August,Aruna Viswanathau,28.0,Mechanic,15398.95,1548.2458333333334,1.0,7.0,5.0,4.0,"Student Loan, Mortgage Loan, Not Specified, and Not Specified",1,1,8.41,8.0,Good,343.84_,28.13568775694777,28 Years and 10 Months,No,34.81396985624466,95.38656229488775,Low_spent_Large_value_payments,294.6240511822009,Standard
70,0x1a28,CUS_0x4af0,July,Nicolacih,18.0,Developer,27070.07,2518.839166666666,7.0,3.0,11.0,4.0,"Home Equity Loan, Credit-Builder Loan, Student Loan, and Personal Loan",7,13,5.68,6.0,Standard,919.76,37.395217944954375,29 Years and 8 Months,No,73.23331847935155,190.2773796747631,Low_spent_Medium_value_payments,268.373218512552,Standard
71,0x1a59,CUS_0x259a,August,Allison Martelly,26.0,Journalist,27865.26,2606.105,4.0,3.0,6.0,1.0,Student Loan,22,18,19.05,5.0,Standard,635.59,25.687375053748628,30 Years and 11 Months,Yes,17.69844332156168,117.03365813386696,Low_spent_Small_value_payments,415.8783985445714,Poor
72,0x1a70,CUS_0x8643,July,Steve Slatery,34.0,Musician,14205.09,1086.7575,7.0,688.0,21.0,8.0,"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",33,19,19.42,16.0,Bad,4845.24,32.71755303903078,13 Years and 10 Months,Yes,49.03239546911298,90.16718068095766,Low_spent_Small_value_payments,259.4761738499293,Standard
